timestamp,datetime,gpu_0_power,gpu_0_utilization,gpu_0_temperature,gpu_0_memory_used,gpu_0_memory_total,gpu_0_graphics_clock,gpu_0_memory_clock,gpu_1_power,gpu_1_utilization,gpu_1_temperature,gpu_1_memory_used,gpu_1_memory_total,gpu_1_graphics_clock,gpu_1_memory_clock,gpu_2_power,gpu_2_utilization,gpu_2_temperature,gpu_2_memory_used,gpu_2_memory_total,gpu_2_graphics_clock,gpu_2_memory_clock,gpu_3_power,gpu_3_utilization,gpu_3_temperature,gpu_3_memory_used,gpu_3_memory_total,gpu_3_graphics_clock,gpu_3_memory_clock
1759808247.8079815,2025-10-07 11:37:27.807,54.66,0,46,14994,16376,0,0,51.31,0,44,13562,16376,0,0,64.75,0,45,14556,16376,0,0,56.98,0,40,13562,16376,0,0
1759808248.0216963,2025-10-07 11:37:28.021,57.13,18,46,14994,16376,0,0,51.31,0,46,13562,16376,0,0,62.06,0,45,14556,16376,0,0,54.82,6,40,13562,16376,0,0
1759808248.241489,2025-10-07 11:37:28.241,54.63,0,46,14994,16376,0,0,53.59,0,44,13562,16376,0,0,62.11,0,45,14556,16376,0,0,54.86,0,40,13562,16376,0,0
1759808248.4520705,2025-10-07 11:37:28.452,54.66,0,47,14994,16376,0,0,51.27,0,44,13562,16376,0,0,62.11,0,45,14556,16376,0,0,54.47,0,40,13562,16376,0,0
1759808248.6614873,2025-10-07 11:37:28.661,57.26,0,46,14994,16376,0,0,53.55,0,44,13562,16376,0,0,64.77,0,45,14556,16376,0,0,56.93,0,40,13562,16376,0,0
1759808248.8529277,2025-10-07 11:37:28.852,54.64,0,46,14994,16376,0,0,51.26,0,44,13562,16376,0,0,62.07,0,45,14556,16376,0,0,54.52,0,40,13562,16376,0,0
1759808249.0368338,2025-10-07 11:37:29.036,57.29,0,46,14994,16376,0,0,53.51,19,44,13562,16376,0,0,64.74,19,45,14556,16376,0,0,56.99,0,40,13562,16376,0,0
1759808249.2398973,2025-10-07 11:37:29.239,54.64,0,46,14994,16376,0,0,51.2,0,44,13562,16376,0,0,62.04,0,45,14556,16376,0,0,54.53,0,40,13562,16376,0,0
1759808249.4308732,2025-10-07 11:37:29.430,57.29,18,47,14994,16376,0,0,51.85,8,45,13562,16376,0,0,62.03,0,47,14556,16376,0,0,57.0,19,40,13562,16376,0,0
1759808249.635285,2025-10-07 11:37:29.635,54.66,0,46,14994,16376,0,0,51.2,0,44,13562,16376,0,0,62.02,0,45,14556,16376,0,0,54.59,0,40,13562,16376,0,0
1759808249.846611,2025-10-07 11:37:29.846,57.27,18,46,14994,16376,0,0,51.17,0,45,13562,16376,0,0,64.7,19,45,14556,16376,0,0,54.58,0,40,13562,16376,0,0
1759808250.0625436,2025-10-07 11:37:30.062,54.65,0,46,14994,16376,0,0,51.18,0,44,13562,16376,0,0,62.03,0,45,14556,16376,0,0,55.9,0,40,13562,16376,0,0
1759808250.270032,2025-10-07 11:37:30.270,54.61,0,48,14994,16376,0,0,53.28,17,44,13562,16376,0,0,62.02,0,45,14556,16376,0,0,54.59,0,40,13562,16376,0,0
1759808250.4852743,2025-10-07 11:37:30.485,57.15,0,46,14994,16376,0,0,52.8,0,44,13562,16376,0,0,64.69,0,45,14556,16376,0,0,57.0,0,40,13562,16376,0,0
1759808250.6937284,2025-10-07 11:37:30.693,54.62,0,46,14994,16376,0,0,51.18,0,44,13562,16376,0,0,62.03,0,45,14556,16376,0,0,54.53,0,40,13562,16376,0,0
